A,171889,test,18,2,8,2 3 4 5 4 3 2 3 4 5 4 5 6 7 6 7 6 7 6 5 6 7 8 9 8,25,1067 393 388 462 367 178 172 368 1756 519 444 651 609 534 268 457 272 499 752 654 587 1139 250 388 366 382 404 308 212 440 320 379 334,40 40 40 40 38 38 38 38 40 40 40 38 37 40 40 37 37 37 39 37 39 37 37 40 40 39 39 37 37 38 38 40 32,1 2 3 5 6 7 9 10 11 12 14 16 17 19 20 21 22 26 27 28 29 30 31 32,16319,1551499644.875,Fri Mar 01 2019 23:07:24 GMT-0500 (Eastern Standard Time)
A,171889,test,19,4,6,4 5 6,3,501 418 157 616,37 40 37 32,2 3,1692,1551499652.573,Fri Mar 01 2019 23:07:32 GMT-0500 (Eastern Standard Time)
A,171889,test,20,1,3,1 2 3,3,1745 478 365 692,39 39 40 32,1 3,3280,1551499661.86,Fri Mar 01 2019 23:07:41 GMT-0500 (Eastern Standard Time)
A,171889,test,21,4,6,4 5 6,3,1534 241 516,40 37 32,1 2,2291,1551499670.165,Fri Mar 01 2019 23:07:50 GMT-0500 (Eastern Standard Time)
A,171889,test,22,4,6,4 5 6,3,530 210 394,40 37 32,1 2,1134,1551499677.309,Fri Mar 01 2019 23:07:57 GMT-0500 (Eastern Standard Time)
A,171889,test,23,1,3,1 10 9 8 7 8 9 10 1 2 3,11,1240 887 433 380 1302 327 427 929 650 788 727,37 40 40 40 38 38 38 39 39 40 32,1 2 3 4 5 6 7 8 9 10,8090,1551499691.405,Fri Mar 01 2019 23:08:11 GMT-0500 (Eastern Standard Time)
A,171889,test,24,4,6,4 5 6,3,278 302 475,40 37 32,1 2,1055,1551499698.465,Fri Mar 01 2019 23:08:18 GMT-0500 (Eastern Standard Time)
A,171889,test,25,1,3,1 10 9 8 7 6 5 4 3 2 3,11,824 1988 446 378 837 1135 443 451 951 330 474 443 382,37 40 40 40 40 39 39 39 38 38 38 40 32,1 2 3 4 6 7 9 10 11 12,9082,1551499713.553,Fri Mar 01 2019 23:08:33 GMT-0500 (Eastern Standard Time)
A,171889,test,26,8,1,8 7 6 5 6 7 8 9 10 9 8 9 10 1,14,2975 332 975 732 502 1775 346 2462 417 374 877 429 366 227 327 796,40 40 39 40 39 37 37 38 38 38 40 40 38 38 39 32,1 3 5 6 7 8 9 10 11 12 13 14 15,13912,1551499733.471,Fri Mar 01 2019 23:08:53 GMT-0500 (Eastern Standard Time)
A,171889,test,27,4,6,4 5 6,3,421 294 527,40 37 32,1 2,1242,1551499740.718,Fri Mar 01 2019 23:09:00 GMT-0500 (Eastern Standard Time)
A,171889,test,28,1,3,1 2 3,3,2204 3260 1246,39 40 32,1 2,6710,1551499753.433,Fri Mar 01 2019 23:09:13 GMT-0500 (Eastern Standard Time)
A,171889,test,29,4,6,4 5 6,3,282 222 476,40 37 32,1 2,980,1551499760.42,Fri Mar 01 2019 23:09:20 GMT-0500 (Eastern Standard Time)
A,171889,test,30,1,3,1 10 9 8 7 6 5 4 3 2 3 4 5 6 7 8 9 10 1 2 1 2 3 4 3,25,6089 1494 1758 432 453 835 855 295 407 1056 387 348 755 311 272 1276 297 2901 628 294 444 321 287 495 350 2425 333 294 331 273 233 254 390 335,37 40 40 40 40 39 39 39 39 38 38 38 40 40 40 37 37 38 38 38 38 39 39 37 32 40 39 39 38 38 40 40 38 32,1 2 3 4 6 7 10 11 12 13 14 15 16 17 18 19 20 22 23 24 27 31 32 33,27908,1551499794.336,Fri Mar 01 2019 23:09:54 GMT-0500 (Eastern Standard Time)
A,171889,test,31,1,3,1 2 3,3,1261 715 629,39 40 32,1 2,2605,1551499802.948,Fri Mar 01 2019 23:10:02 GMT-0500 (Eastern Standard Time)
A,171889,test,32,4,6,4 5 6,3,319 262 575,40 37 32,1 2,1156,1551499810.111,Fri Mar 01 2019 23:10:10 GMT-0500 (Eastern Standard Time)
A,171889,test,33,4,6,4 5 6,3,570 258 473,40 37 32,1 2,1301,1551499817.418,Fri Mar 01 2019 23:10:17 GMT-0500 (Eastern Standard Time)
A,171889,test,34,4,6,4 5 6,3,250 175 400,40 37 32,1 2,825,1551499824.25,Fri Mar 01 2019 23:10:24 GMT-0500 (Eastern Standard Time)
A,171889,test,35,4,6,4 5 6,3,160 170 1675,40 37 32,1 2,2005,1551499832.264,Fri Mar 01 2019 23:10:32 GMT-0500 (Eastern Standard Time)
